Fermanagh and South Tyrone,dungannonherald.com
Mid Ulster,dungannonherald.com
West Tyrone,dungannonherald.com
Runcorn and Helsby,hcr923fm.com
Widnes and Halewood,hcr923fm.com
Belfast North,www.antrimguardian.co.uk
East Antrim,www.antrimguardian.co.uk
South Antrim,www.antrimguardian.co.uk
East Antrim,www.ballymenaguardian.co.uk
North Antrim,www.ballymenaguardian.co.uk
Barking,www.barkinganddagenhampost.co.uk
Dagenham and Rainham,www.barkinganddagenhampost.co.uk
Ilford South,www.barkinganddagenhampost.co.uk
Chester North and Neston,www.chesterstandard.co.uk
Chester South and Eddisbury,www.chesterstandard.co.uk
Ellesmere Port and Bromborough,www.chesterstandard.co.uk
Mid Cheshire,www.chesterstandard.co.uk
Runcorn and Helsby,www.chesterstandard.co.uk
Tatton,www.chesterstandard.co.uk
Wolverhampton North East,www.expressandstar.com
Wolverhampton South East,www.expressandstar.com
Wolverhampton West,www.expressandstar.com
Telford,www.newportadvertiser.com
The Wrekin,www.newportadvertiser.com
Dagenham and Rainham,www.romfordrecorder.co.uk
Hornchurch and Upminster,www.romfordrecorder.co.uk
Romford,www.romfordrecorder.co.uk
Arbroath and Broughty Ferry,www.thecourier.co.uk
Dundee Central,www.thecourier.co.uk
Middlesbrough South and East Cleveland,www.zetlandfm.co.uk
Redcar,www.zetlandfm.co.uk
Dumfries and Galloway,aliveradio.net
"Dumfriesshire, Clydesdale and Tweeddale",aliveradio.net
Altrincham and Sale West,altrincham.todaynews.co.uk
Stretford and Urmston,altrincham.todaynews.co.uk
Wythenshawe and Sale East,altrincham.todaynews.co.uk
Aldridge-Brownhills,amburfm.co.uk
Walsall and Bloxwich,amburfm.co.uk
Wolverhampton North East,amburfm.co.uk
Wolverhampton South East,amburfm.co.uk
Slough,asianstarradio.co.uk
Windsor,asianstarradio.co.uk
Battersea,battersea.nub.news
Putney,battersea.nub.news
Tooting,battersea.nub.news
Cramlington and Killingworth,bbc.co.uk/bbcnewcastle
Hexham,bbc.co.uk/bbcnewcastle
